# AUTHOR: C.J. Walcher
# SOURCE: CALIFA Collaboration 
# DATE: 2011-09-30
# VERSION: 1.0 
# COLAPRV: None
# PUBAPRV: None 
# COLUMN1: CALIFAID, int, , ID of the CALIFA galaxy 
# COLUMN2: CALIFAName, string, , Internal name of the CALIFA galaxy
# COLUMN3: Name, string, , NED name of the galaxy 
# COLUMN4: ra, float, degrees, right ascension J2000.0 
# COLUMN5: de, float, degrees, declination J2000.0
# COLUMN6: hubtyp, string, , Hubble type S or E
# COLUMN7: hubsubtyp, string, , Hubble subtype 0-7 or a-d
# COLUMN8: minhubtyp, string, , Minimum Hubble type 
# COLUMN9: minhubsubtyp, string, , Minimum Hubble subtype 
# COLUMN10: maxhubtyp, string, , Maximum Hubble type
# COLUMN11: maxhubsubtyp, string, , Maximum Hubble subtype
# COLUMN12: bar, String, Barredness A or AB or B
# COLUMN13: minbar, String, , Minimum barredness
# COLUMN14: maxbar, String, , Maximum barredness 
# COLUMN15: merg, string, , Merging (M) or Isolated (I)
# COLUMN16: minmerg , String, , Min Merging (M) or Isolated (I)
# COLUMN17: maxmerg , String, , Max Merging (M) or Isolated (I)
001, CALIFA001, IC5376, 0.33241081, 34.52566909, S, b, S, a, S, d, A, A, A, I, I, I
002, CALIFA002, UGC00005, 0.77351248, -1.91383457, S, bc, S, ab, S, c, A, A, B, I, I, I
003, CALIFA003, NGC7819, 1.10210525, 31.47200775, S, c, S, bc, S, c, A, A, B, I, I, I
004, CALIFA004, UGC00029, 1.14060366, 28.30172348, E, 1, E, 0, E, 1, A, A, A, I, I, I
005, CALIFA005, IC1528, 1.27240324, -7.09338998, S, bc, S, ab, S, d, AB, A, B, I, I, I
006, CALIFA006, NGC7824, 1.27598655, 6.92014694, S, ab, S, a, S, ab, A, A, B, I, I, I
007, CALIFA007, UGC00036, 1.30783963, 6.77202939, S, ab, S, a, S, bc, AB, A, B, I, I, I
008, CALIFA008, NGC0001, 1.81608438, 27.70808219, S, bc, S, b, S, c, A, A, A, I, I, I
009, CALIFA009, NGC0023, 2.47260832, 25.92383193, S, b, S, ab, S, cd, B, AB, B, I, I, I
010, CALIFA010, NGC0036, 2.84290742, 6.38935184, S, b, S, a, S, bc, B, A, B, I, I, M
011, CALIFA011, UGC00139, 3.63276100, -0.73755717, S, cd, S, c, S, d, A, A, B, I, I, I
012, CALIFA012, UGC00148, 3.96373128, 16.08983230, S, c, S, ab, S, m, A, A, AB, I, I, I
013, CALIFA013, MCG-02-02-030, 7.53045558, -11.11362934, S, b, S, ab, S, c, AB, A, B, I, I, I
014, CALIFA014, UGC00312, 7.84967470, 8.46673107, S, d, S, c, S, m, B, B, B, I, I, M
015, CALIFA015, ESO539-G014, 7.86745214, -19.76145362, S, cd, S, bc, S, d, A, A, AB, I, I, I
016, CALIFA016, MCG-02-02-040, 7.89911556, -10.50639438, S, cd, S, bc, S, m, AB, A, B, I, I, I
017, CALIFA017, UGC00335NED02, 8.48884487, 7.26827239, E, 4, E, 3, E, 5, A, A, A, M, I, M
018, CALIFA018, NGC0155, 8.66700077, -10.76651287, E, 1, E, 0, S, 0, A, A, A, I, I, I
019, CALIFA019, ESO540-G003, 8.91455650, -20.12538146, S, b, S, ab, S, bc, AB, A, B, I, I, I
020, CALIFA020, NGC0160, 9.01710796, 23.95790863, S, a, S, 0, S, bc, A, A, AB, I, I, I
021, CALIFA021, NGC0165, 9.12051391, -10.10616302, S, b, S, a, S, bc, B, B, B, I, I, I
022, CALIFA022, NGC0169, 9.21503448, 23.99097251, S, ab, S, a, S, bc, A, A, AB, M, M, M
023, CALIFA023, NGC0171, 9.33979988, -19.93422508, S, b, S, a, S, c, B, B, B, I, I, I
024, CALIFA024, NGC0177, 9.39306831, -22.54923248, S, ab, S, a, S, b, A, A, AB, I, I, I
025, CALIFA025, NGC0180, 9.49042797, 8.63516330, S, b, S, a, S, c, B, B, B, I, I, I
026, CALIFA026, NGC0192, 9.80589199, 0.86415791, S, ab, S, a, S, b, AB, A, B, I, I, I
027, CALIFA027, NGC0216, 10.36320686, -21.04467391, S, d, S, b, I, r, A, A, AB, I, I, I
028, CALIFA028, NGC0214, 10.36682510, 25.49937629, S, bc, S, bc, S, c, AB, AB, B, I, I, I
029, CALIFA029, NGC0217, 10.39122295, -10.02142906, S, a, S, 0, S, c, A, A, AB, I, I, I
030, CALIFA030, NGC0237, 10.86600589, -0.12492980, S, c, S, bc, S, cd, B, AB, B, I, I, I
031, CALIFA031, NGC0234, 10.88497066, 14.34256839, S, c, S, c, S, d, AB, A, B, I, I, I
032, CALIFA032, MCG-02-03-015, 11.94347953, -9.83505058, S, ab, S, 0, S, bc, AB, A, B, I, I, I
033, CALIFA033, NGC0257, 12.00629615, 8.29706954, S, c, S, b, S, cd, A, A, B, I, I, I
034, CALIFA034, NGC0309, 14.17775535, -9.91386604, S, cd, S, c, S, cd, B, AB, B, I, I, I
035, CALIFA035, NGC0364, 16.17012596, -0.80274558, E, 7, E, 4, S, 0, AB, A, B, I, I, I
036, CALIFA036, NGC0429, 18.23926925, -0.34499707, S, a, S, 0, S, c, A, A, AB, I, I, I
037, CALIFA037, IC1652, 18.73448562, 31.94850158, S, 0a, S, 0, S, bc, A, A, AB, I, I, I
038, CALIFA038, NGC0447, 18.90683555, 33.06776809, S, a, S, 0, S, c, B, B, B, I, I, I
039, CALIFA039, NGC0444, 18.95650863, 31.08062362, S, cd, S, c, S, d, A, A, AB, I, I, I
040, CALIFA040, UGC00809, 18.96598625, 33.81070327, S, cd, S, c, S, d, A, A, B, I, I, I
041, CALIFA041, UGC00841, 19.79178237, 33.03062438, S, bc, S, a, S, d, A, A, AB, I, I, I
042, CALIFA042, NGC0477, 20.33534622, 40.48814773, S, bc, S, b, S, c, AB, A, B, I, I, I
043, CALIFA043, IC1683, 20.66220474, 34.43712615, S, b, S, a, S, c, AB, A, B, I, I, I
044, CALIFA044, NGC0499, 20.79790115, 33.46018981, E, 5, E, 2, S, 0, A, A, A, I, I, I
045, CALIFA045, NGC0496, 20.79831314, 33.52927398, S, cd, S, bc, S, d, A, A, AB, I, I, I
046, CALIFA046, NGC0504, 20.86627006, 33.20435333, S, 0, E, 7, S, 0, A, A, A, I, I, I
047, CALIFA047, NGC0517, 21.18252372, 33.42959213, S, 0, S, 0, S, 0, A, A, A, I, I, I
048, CALIFA048, NGC0523, 21.33648872, 34.02495193, S, d, S, b, I, r, AB, A, B, M, I, M
049, CALIFA049, UGC00987, 21.38103294, 32.13627243, S, a, S, 0a, S, a, AB, AB, B, I, I, I
050, CALIFA050, NGC0528, 21.38988113, 33.67144393, S, 0, E, 7, S, 0, A, A, A, I, I, I
051, CALIFA051, NGC0529, 21.41783905, 34.71302413, E, 4, E, 3, S, 0, A, A, A, I, I, I
052, CALIFA052, NGC0551, 21.91930770, 37.18298339, S, bc, S, ab, S, c, AB, A, B, I, I, I
053, CALIFA053, UGC01057, 22.22188949, 13.79379844, S, c, S, bc, S, cd, AB, A, B, I, I, I
054, CALIFA054, NGC0570, 22.24433135, -0.94899857, S, b, S, a, S, c, B, B, B, I, I, I
055, CALIFA055, UGC01062, 22.24818420, -0.56194174, S, 0a, S, 0, S, ab, AB, A, B, I, I, I
056, CALIFA056, 2MASXJ01331766+1319567, 23.32378959, 13.33202743, S, c, S, c, S, d, AB, AB, B, I, I, I
057, CALIFA057, UGC01123, 23.53321075, -1.03228628, S, ab, S, a, S, bc, A, A, AB, I, I, I
058, CALIFA058, IC0159, 26.60438728, -8.63662052, S, dm, S, c, I, r, B, AB, B, I, I, M
059, CALIFA059, UGC01271, 27.25026702, 13.21110725, S, 0a, S, 0, S, d, B, B, B, I, I, I
060, CALIFA060, UGCA021, 27.29314613, -10.06123733, S, dm, S, d, I, r, B, AB, B, I, I, I
061, CALIFA061, NGC0681, 27.29516601, -10.42647743, S, a, S, a, S, ab, AB, A, AB, I, I, I
062, CALIFA062, UGC01274, 27.29842185, 12.85325431, S, a, S, 0, S, ab, A, A, AB, I, I, I
063, CALIFA063, NGC0677, 27.30858421, 13.05534934, E, 0, E, 0, S, 0, A, A, A, I, I, M
064, CALIFA064, NGC0693, 27.63021087, 6.14452505, E, 7, E, 0, S, m, AB, A, AB, I, I, I
065, CALIFA065, NGC0716, 28.24866676, 12.70847225, S, b, S, a, S, d, AB, A, B, I, I, I
066, CALIFA066, UGC01368, 28.55473327, 7.88364982, S, ab, S, a, S, c, A, A, A, I, I, I
067, CALIFA067, NGC0731, 28.73420715, -9.01081275, E, 1, E, 0, S, 0, A, A, A, I, I, I
068, CALIFA068, NGC0741, 29.08744239, 5.62897443, E, 1, E, 0, E, 4, A, A, A, M, I, M
069, CALIFA069, NGC0755, 29.09441566, -9.06138610, S, cd, S, b, S, d, B, AB, B, I, I, I
070, CALIFA070, IC1755, 29.29077720, 14.54988670, S, b, S, 0a, S, d, A, A, AB, I, I, I
071, CALIFA071, NGC0768, 29.67056655, 0.52921199, S, c, S, bc, S, c, B, AB, B, I, I, M
072, CALIFA072, NGC0774, 29.89470291, 14.00820446, S, 0, E, 6, S, 0, A, A, A, I, I, I
073, CALIFA073, NGC0776, 29.97718811, 23.64427566, S, b, S, ab, S, bc, B, B, B, I, I, I
074, CALIFA074, NGC0781, 30.03734588, 12.65610694, S, a, S, 0, S, b, A, A, AB, I, I, I
075, CALIFA075, NGC0787, 30.20257377, -9.00257587, S, a, S, 0, S, bc, A, A, AB, I, I, I
076, CALIFA076, NGC0810, 31.36900901, 13.25162982, E, 5, E, 2, S, ab, A, A, AB, M, I, M
077, CALIFA077, NGC0825, 32.13470458, 6.32366657, S, a, S, 0, S, ab, A, A, AB, I, I, M
078, CALIFA078, NGC0833, 32.33684921, -10.13309383, S, a, S, 0, S, a, AB, A, B, M, M, M
079, CALIFA079, IC0210, 32.36786651, -9.68031501, S, a, S, ab, S, bc, AB, A, AB, I, I, I
080, CALIFA080, NGC0842, 32.46162033, -7.76247692, S, 0, S, 0, S, a, A, A, AB, I, I, M
081, CALIFA081, UGC01659, 32.48708343, 16.03258514, S, c, S, b, S, d, B, B, B, I, I, I
082, CALIFA082, KUG0210-078, 33.31582260, -7.66188430, S, bc, S, a, S, c, B, B, B, I, I, I
083, CALIFA083, UGC01749, 34.06008911, 18.31104087, S, ab, S, a, S, ab, AB, A, B, I, I, I
084, CALIFA084, NGC0873, 34.13488006, -11.34847927, S, cd, S, c, S, d, A, A, AB, I, I, I
085, CALIFA085, NGC0924, 36.69508361, 20.49749374, S, 0, S, 0, S, 0, A, A, A, I, I, I
086, CALIFA086, UGC01918, 36.88532257, 25.66876602, S, b, S, ab, S, bc, B, AB, B, I, I, I
087, CALIFA087, NGC0932, 36.97790527, 20.33249473, S, 0a, S, 0, S, a, A, A, A, I, I, I
088, CALIFA088, UGC01938, 37.09223556, 23.21462631, S, bc, S, b, S, cd, AB, A, AB, I, I, I
089, CALIFA089, NGC0941, 37.11618423, -1.15145921, S, cd, S, b, S, d, A, A, AB, I, I, I
